file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.11;2;0;0;0;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.11;12;10;2;2;1;OK;OK;0;
1-random/000004_000000000004.dimacs;0.08;4;0;0;0;1;OK;OK;0;
1-random/000004_000000000024.dimacs;0.16;24;20;4;4;1;OK;OK;0;
1-random/000006_000000000007.dimacs;0.11;7;1;1;1;1;OK;OK;0;
1-random/000006_000000000036.dimacs;0.16;36;30;4;4;1;OK;OK;0;
1-random/000008_000000000009.dimacs;0.11;9;1;1;1;1;OK;OK;0;
1-random/000008_000000000048.dimacs;0.20;48;40;7;7;1;OK;OK;0;
1-random/000010_000000000012.dimacs;0.12;12;2;2;2;1;OK;OK;0;
1-random/000010_000000000060.dimacs;0.21;60;50;10;10;1;OK;OK;0;
1-random/000012_000000000014.dimacs;0.10;14;2;1;1;1;OK;OK;0;
1-random/000012_000000000072.dimacs;0.20;72;60;11;11;1;OK;OK;0;
1-random/000014_000000000016.dimacs;0.12;16;2;2;2;1;OK;OK;0;
1-random/000014_000000000084.dimacs;0.26;84;70;13;13;1;OK;OK;0;
1-random/000016_000000000019.dimacs;0.11;19;3;1;1;1;OK;OK;0;
1-random/000016_000000000096.dimacs;0.33;96;80;15;15;1;OK;OK;0;
1-random/000018_000000000021.dimacs;0.11;21;3;2;2;1;OK;OK;0;
1-random/000018_000000000108.dimacs;0.31;108;91;15;15;1;OK;OK;0;
1-random/000020_000000000024.dimacs;0.13;24;4;2;2;1;OK;OK;0;
1-random/000020_000000000120.dimacs;0.34;120;101;18;18;1;OK;OK;0;
1-random/000022_000000000026.dimacs;0.11;26;4;3;3;1;OK;OK;0;
1-random/000022_000000000132.dimacs;0.39;132;112;19;19;1;OK;OK;0;
1-random/000024_000000000028.dimacs;0.12;28;4;4;4;1;OK;OK;0;
1-random/000024_000000000144.dimacs;0.42;144;124;22;22;1;OK;OK;0;
1-random/000026_000000000031.dimacs;0.12;31;6;5;5;1;OK;OK;0;
1-random/000026_000000000156.dimacs;0.43;156;131;23;23;1;OK;OK;0;
1-random/000028_000000000033.dimacs;0.11;33;8;4;10;1;OK;OK;0;
1-random/000028_000000000168.dimacs;0.51;168;152;26;26;1;OK;OK;0;
1-random/000030_000000000036.dimacs;0.13;36;8;5;6;1;OK;OK;0;
1-random/000030_000000000180.dimacs;0.45;180;167;27;27;1;OK;OK;0;
1-random/000035_000000000042.dimacs;0.12;42;7;6;6;1;OK;OK;0;
1-random/000035_000000000210.dimacs;0.50;210;202;26;26;1;OK;OK;0;
1-random/000040_000000000048.dimacs;0.15;48;19;7;7;1;OK;OK;0;
1-random/000040_000000000240.dimacs;0.58;240;244;35;465;1;OK;OK;0;
1-random/000045_000000000054.dimacs;0.13;54;9;6;6;1;OK;OK;0;
1-random/000045_000000000270.dimacs;1.00;270;291;39;2735;1;OK;OK;0;
1-random/000050_000000000060.dimacs;0.17;60;13;9;188;1;OK;OK;0;
1-random/000050_000000000300.dimacs;1.66;300;339;46;20094;1;OK;OK;0;
1-random/000055_000000000066.dimacs;0.16;66;14;8;8;1;OK;OK;0;
1-random/000055_000000000330.dimacs;0.77;330;399;48;48;1;OK;OK;0;
1-random/000060_000000000072.dimacs;0.14;72;13;10;10;1;OK;OK;0;
1-random/000060_000000000360.dimacs;1.55;360;436;50;9716;1;OK;OK;0;
1-random/000065_000000000078.dimacs;0.17;78;20;11;11;1;OK;OK;0;
1-random/000065_000000000390.dimacs;1.09;390;547;59;59;1;OK;OK;0;
1-random/000070_000000000084.dimacs;0.19;84;21;12;1175;1;OK;OK;0;
1-random/000070_000000000420.dimacs;2.79;420;539;60;58213;1;OK;OK;0;
1-random/000075_000000000090.dimacs;0.21;90;33;13;306;1;OK;OK;0;
1-random/000075_000000000450.dimacs;5.29;450;682;68;148287;1;OK;OK;0;
1-random/000080_000000000096.dimacs;0.21;96;24;13;705;1;OK;OK;0;
1-random/000080_000000000480.dimacs;14.36;480;777;73;262513;1;OK;OK;0;
1-random/000085_000000000102.dimacs;0.23;102;36;16;1336;1;OK;OK;0;
1-random/000085_000000000510.dimacs;1.21;510;843;76;76;1;OK;OK;0;
1-random/000090_000000000108.dimacs;0.31;108;38;17;6082;1;OK;OK;0;
1-random/000090_000000000540.dimacs;18.87;540;825;78;362774;1;OK;OK;0;
1-random/000095_000000000114.dimacs;0.30;114;46;18;3853;1;OK;OK;0;
1-random/000095_000000000570.dimacs;1.19;570;1022;86;86;1;OK;OK;0;
1-random/000100_000000000120.dimacs;0.38;120;51;20;7011;1;OK;OK;0;
1-random/000100_000000000600.dimacs;65.20;600;1151;95;857599;1;OK;OK;0;
1-random/000200_000000000240.dimacs;2.86;240;166;38;299224;1;OK;OK;0;
1-random/000200_000000001200.dimacs;;1200;4537;0;;0;;;;
1-random/000300_000000000360.dimacs;161.05;360;387;58;16247683;1;OK;OK;0;
1-random/000300_000000001800.dimacs;;1800;11129;0;;0;;;;
1-random/000400_000000000480.dimacs;;480;552;0;;0;;;;
