file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.10;2;0; 0;0;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.12;12;10; 2;5;1;OK;OK;0;
1-random/000004_000000000004.dimacs;0.11;4;0; 0;0;1;OK;OK;0;
1-random/000004_000000000024.dimacs;0.11;24;20; 4;17;1;OK;OK;0;
1-random/000006_000000000007.dimacs;0.10;7;1; 1;2;1;OK;OK;0;
1-random/000006_000000000036.dimacs;0.12;36;30; 4;15;1;OK;OK;0;
1-random/000008_000000000009.dimacs;0.11;9;1; 1;2;1;OK;OK;0;
1-random/000008_000000000048.dimacs;0.13;48;40; 7;42;1;OK;OK;0;
1-random/000010_000000000012.dimacs;0.10;12;2; 2;6;1;OK;OK;0;
1-random/000010_000000000060.dimacs;0.16;60;50; 10;93;1;OK;OK;0;
1-random/000012_000000000014.dimacs;0.10;14;2; 1;2;1;OK;OK;0;
1-random/000012_000000000072.dimacs;0.18;72;60; 11;146;1;OK;OK;0;
1-random/000014_000000000016.dimacs;0.11;16;2; 2;6;1;OK;OK;0;
1-random/000014_000000000084.dimacs;0.18;84;70; 13;272;1;OK;OK;0;
1-random/000016_000000000019.dimacs;0.10;19;3; 1;2;1;OK;OK;0;
1-random/000016_000000000096.dimacs;0.19;96;80; 15;454;1;OK;OK;0;
1-random/000018_000000000021.dimacs;0.10;21;3; 2;5;1;OK;OK;0;
1-random/000018_000000000108.dimacs;0.20;108;91; 15;351;1;OK;OK;0;
1-random/000020_000000000024.dimacs;0.10;24;4; 2;5;1;OK;OK;0;
1-random/000020_000000000120.dimacs;0.25;120;101; 18;2109;1;OK;OK;0;
1-random/000022_000000000026.dimacs;0.10;26;4; 3;11;1;OK;OK;0;
1-random/000022_000000000132.dimacs;0.22;132;112; 19;977;1;OK;OK;0;
1-random/000024_000000000028.dimacs;0.11;28;4; 4;30;1;OK;OK;0;
1-random/000024_000000000144.dimacs;0.27;144;124; 22;1548;1;OK;OK;0;
1-random/000026_000000000031.dimacs;0.13;31;6; 5;69;1;OK;OK;0;
1-random/000026_000000000156.dimacs;0.29;156;131; 23;2961;1;OK;OK;0;
1-random/000028_000000000033.dimacs;0.13;33;8; 4;19;1;OK;OK;0;
1-random/000028_000000000168.dimacs;0.51;168;152; 26;5941;1;OK;OK;0;
1-random/000030_000000000036.dimacs;0.19;36;8; 5;55;1;OK;OK;0;
1-random/000030_000000000180.dimacs;0.86;180;167; 27;27057;1;OK;OK;0;
1-random/000035_000000000042.dimacs;0.14;42;7; 6;95;1;OK;OK;0;
1-random/000035_000000000210.dimacs;0.79;210;202; 26;23264;1;OK;OK;0;
1-random/000040_000000000048.dimacs;0.18;48;19; 7;222;1;OK;OK;0;
1-random/000040_000000000240.dimacs;3.63;240;244; 35;214551;1;OK;OK;0;
1-random/000045_000000000054.dimacs;0.13;54;9; 6;78;1;OK;OK;0;
1-random/000045_000000000270.dimacs;17.46;270;291; 39;1300454;1;OK;OK;0;
1-random/000050_000000000060.dimacs;0.18;60;13; 9;546;1;OK;OK;0;
1-random/000050_000000000300.dimacs;;300;339; 0;;0;;;;
2-social-networks/00-karate.graph.dimacs;0.21;34;78; 14;1317;1;OK;OK;0;
2-social-networks/01-dolphins.graph.dimacs;1.75;62;159; 34;442783;1;OK;OK;0;
2-social-networks/02-chesapeake.graph.dimacs;0.27;39;170; 22;7605;1;OK;OK;0;
2-social-networks/03-adjnoun.graph.dimacs;;112;425; 0;;0;;;;
3-medium-sized/vc001.dimacs;;6160;40207; 0;;0;;;;
