file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.09;2;0; 0;0;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.10;12;10; 2;0;1;OK;OK;0;
1-random/000004_000000000004.dimacs;0.09;4;0; 0;0;1;OK;OK;0;
1-random/000004_000000000024.dimacs;0.11;24;20; 4;0;1;OK;OK;0;
1-random/000006_000000000007.dimacs;0.10;7;1; 1;0;1;OK;OK;0;
1-random/000006_000000000036.dimacs;0.11;36;30; 4;0;1;OK;OK;0;
1-random/000008_000000000009.dimacs;0.10;9;1; 1;0;1;OK;OK;0;
1-random/000008_000000000048.dimacs;0.11;48;40; 7;0;1;OK;OK;0;
1-random/000010_000000000012.dimacs;0.10;12;2; 2;0;1;OK;OK;0;
1-random/000010_000000000060.dimacs;0.12;60;50; 10;0;1;OK;OK;0;
1-random/000012_000000000014.dimacs;0.10;14;2; 1;0;1;OK;OK;0;
1-random/000012_000000000072.dimacs;0.11;72;60; 11;0;1;OK;OK;0;
1-random/000014_000000000016.dimacs;0.11;16;2; 2;0;1;OK;OK;0;
1-random/000014_000000000084.dimacs;0.13;84;70; 13;0;1;OK;OK;0;
1-random/000016_000000000019.dimacs;0.10;19;3; 1;0;1;OK;OK;0;
1-random/000016_000000000096.dimacs;0.13;96;80; 15;0;1;OK;OK;0;
1-random/000018_000000000021.dimacs;0.09;21;3; 2;0;1;OK;OK;0;
1-random/000018_000000000108.dimacs;;108;91; 12;;0;;;;
1-random/000020_000000000024.dimacs;0.10;24;4; 2;0;1;OK;OK;0;
1-random/000020_000000000120.dimacs;;120;101; 12;;0;;;;
1-random/000022_000000000026.dimacs;0.09;26;4; 3;0;1;OK;OK;0;
1-random/000022_000000000132.dimacs;;132;112; 12;;0;;;;
1-random/000024_000000000028.dimacs;0.10;28;4; 4;0;1;OK;OK;0;
1-random/000024_000000000144.dimacs;;144;124; 12;;0;;;;
1-random/000026_000000000031.dimacs;0.10;31;6; 5;0;1;OK;OK;0;
1-random/000026_000000000156.dimacs;;156;131; 12;;0;;;;
1-random/000028_000000000033.dimacs;;33;8; 12;;0;;;;
1-random/000028_000000000168.dimacs;;168;152; 12;;0;;;;
1-random/000030_000000000036.dimacs;;36;8; 12;;0;;;;
1-random/000030_000000000180.dimacs;;180;167; 12;;0;;;;
1-random/000035_000000000042.dimacs;0.10;42;7; 6;0;1;OK;OK;0;
1-random/000035_000000000210.dimacs;;210;202; 12;;0;;;;
1-random/000040_000000000048.dimacs;;48;19; 12;;0;;;;
3-medium-sized/vc001.dimacs;;6160;40207; 12;;0;;;;
3-medium-sized/vc003.dimacs;;60541;48418; 12;;0;;;;
3-medium-sized/vc005.dimacs;;200;798; 12;;0;;;;
3-medium-sized/vc007.dimacs;;8794;10121; 12;;0;;;;
