file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.10;2;0; 0;;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.12;12;10; 2;;1;OK;OK;0;
1-random/000004_000000000004.dimacs;0.11;4;0; 0;;1;OK;OK;0;
1-random/000004_000000000024.dimacs;0.14;24;20; 4;;1;OK;OK;0;
1-random/000006_000000000007.dimacs;0.13;7;1; 1;;1;OK;OK;0;
1-random/000006_000000000036.dimacs;0.15;36;30; 4;;1;OK;OK;0;
1-random/000008_000000000009.dimacs;0.12;9;1; 1;;1;OK;OK;0;
1-random/000008_000000000048.dimacs;0.15;48;40; 7;;1;OK;OK;0;
1-random/000010_000000000012.dimacs;0.12;12;2; 2;;1;OK;OK;0;
1-random/000010_000000000060.dimacs;0.17;60;50; 10;;1;OK;OK;0;
1-random/000012_000000000014.dimacs;0.19;14;2; 1;;1;OK;OK;0;
1-random/000012_000000000072.dimacs;0.17;72;60; 11;;1;OK;OK;0;
1-random/000014_000000000016.dimacs;0.14;16;2; 2;;1;OK;OK;0;
1-random/000014_000000000084.dimacs;0.17;84;70; 13;;1;OK;OK;0;
1-random/000016_000000000019.dimacs;0.15;19;3; 1;;1;OK;OK;0;
1-random/000016_000000000096.dimacs;0.16;96;80; 15;;1;OK;OK;0;
1-random/000018_000000000021.dimacs;0.13;21;3; 2;;1;OK;OK;0;
1-random/000018_000000000108.dimacs;0.18;108;91; 15;;1;OK;OK;0;
1-random/000020_000000000024.dimacs;0.13;24;4; 2;;1;OK;OK;0;
1-random/000020_000000000120.dimacs;0.17;120;101; 18;;1;OK;OK;0;
1-random/000022_000000000026.dimacs;0.12;26;4; 3;;1;OK;OK;0;
1-random/000022_000000000132.dimacs;0.19;132;112; 19;;1;OK;OK;0;
1-random/000024_000000000028.dimacs;0.15;28;4; 4;;1;OK;OK;0;
1-random/000024_000000000144.dimacs;0.17;144;124; 22;;1;OK;OK;0;
1-random/000026_000000000031.dimacs;0.12;31;6; 5;;1;OK;OK;0;
1-random/000026_000000000156.dimacs;0.19;156;131; 23;;1;OK;OK;0;
1-random/000028_000000000033.dimacs;0.12;33;8; 4;;1;OK;OK;0;
1-random/000028_000000000168.dimacs;0.18;168;152; 26;;1;OK;OK;0;
1-random/000030_000000000036.dimacs;0.12;36;8; 5;;1;OK;OK;0;
1-random/000030_000000000180.dimacs;0.16;180;167; 27;;1;OK;OK;0;
1-random/000035_000000000042.dimacs;0.12;42;7; 6;;1;OK;OK;0;
1-random/000035_000000000210.dimacs;0.16;210;202; 26;;1;OK;OK;0;
1-random/000040_000000000048.dimacs;0.13;48;19; 7;;1;OK;OK;0;
1-random/000040_000000000240.dimacs;0.18;240;244; 35;;1;OK;OK;0;
1-random/000045_000000000054.dimacs;0.12;54;9; 6;;1;OK;OK;0;
1-random/000045_000000000270.dimacs;;270;291; 9;;0;;;;
2-social-networks/00-karate.graph.dimacs;0.14;34;78; 14;;1;OK;OK;0;
2-social-networks/01-dolphins.graph.dimacs;;62;159; 20;;0;;;;
