file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.08;2;0;0;0;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.08;12;10;2;4;1;OK;OK;0;
1-random/000004_000000000004.dimacs;0.06;4;0;0;0;1;OK;OK;0;
1-random/000004_000000000024.dimacs;0.10;24;20;4;24;1;OK;OK;0;
1-random/000006_000000000007.dimacs;0.08;7;1;1;1;1;OK;OK;0;
1-random/000006_000000000036.dimacs;0.10;36;30;4;17;1;OK;OK;0;
1-random/000008_000000000009.dimacs;0.07;9;1;1;1;1;OK;OK;0;
1-random/000008_000000000048.dimacs;0.13;48;40;7;118;1;OK;OK;0;
1-random/000010_000000000012.dimacs;0.07;12;2;2;2;1;OK;OK;0;
1-random/000010_000000000060.dimacs;0.24;60;50;10;306;1;OK;OK;0;
1-random/000012_000000000014.dimacs;0.08;14;2;1;2;1;OK;OK;0;
1-random/000012_000000000072.dimacs;0.39;72;60;11;575;1;OK;OK;0;
1-random/000014_000000000016.dimacs;0.07;16;2;2;2;1;OK;OK;0;
1-random/000014_000000000084.dimacs;0.49;84;70;13;473;1;OK;OK;0;
1-random/000016_000000000019.dimacs;0.08;19;3;1;2;1;OK;OK;0;
1-random/000016_000000000096.dimacs;1.08;96;80;15;2168;1;OK;OK;0;
1-random/000018_000000000021.dimacs;0.11;21;3;2;2;1;OK;OK;0;
1-random/000018_000000000108.dimacs;1.41;108;91;15;2655;1;OK;OK;0;
1-random/000020_000000000024.dimacs;0.10;24;4;2;4;1;OK;OK;0;
1-random/000020_000000000120.dimacs;3.30;120;101;18;12344;1;OK;OK;0;
1-random/000022_000000000026.dimacs;0.11;26;4;3;4;1;OK;OK;0;
1-random/000022_000000000132.dimacs;2.72;132;112;19;8303;1;OK;OK;0;
1-random/000024_000000000028.dimacs;0.11;28;4;4;4;1;OK;OK;0;
1-random/000024_000000000144.dimacs;8.60;144;124;22;22002;1;OK;OK;0;
1-random/000026_000000000031.dimacs;0.11;31;6;5;7;1;OK;OK;0;
1-random/000026_000000000156.dimacs;;156;131;1;;0;;;;
1-random/000028_000000000033.dimacs;0.52;33;8;4;5;1;OK;OK;0;
1-random/000028_000000000168.dimacs;45.42;168;152;26;64325;1;OK;OK;0;
1-random/000030_000000000036.dimacs;0.10;36;8;5;6;1;OK;OK;0;
1-random/000030_000000000180.dimacs;;180;167;33;;0;;;;
1-random/000035_000000000042.dimacs;0.11;42;7;6;7;1;OK;OK;0;
1-random/000035_000000000210.dimacs;;210;202;33;;0;;;;
1-random/000040_000000000048.dimacs;0.14;48;19;7;24;1;OK;OK;0;
1-random/000040_000000000240.dimacs;;240;244;33;;0;;;;
1-random/000045_000000000054.dimacs;0.12;54;9;6;13;1;OK;OK;0;
1-random/000045_000000000270.dimacs;;270;291;27;;0;;;;
1-random/000050_000000000060.dimacs;0.13;60;13;9;18;1;OK;OK;0;
1-random/000050_000000000300.dimacs;;300;339;33;;0;;;;
1-random/000055_000000000066.dimacs;0.13;66;14;8;29;1;OK;OK;0;
1-random/000055_000000000330.dimacs;;330;399;1;;0;;;;
1-random/000060_000000000072.dimacs;0.12;72;13;10;15;1;OK;OK;0;
1-random/000060_000000000360.dimacs;;360;436;1;;0;;;;
1-random/000065_000000000078.dimacs;0.15;78;20;11;44;1;OK;OK;0;
1-random/000065_000000000390.dimacs;;390;547;33;;0;;;;
1-random/000070_000000000084.dimacs;0.16;84;21;12;69;1;OK;OK;0;
1-random/000070_000000000420.dimacs;;420;539;33;;0;;;;
1-random/000075_000000000090.dimacs;0.30;90;33;13;322;1;OK;OK;0;
1-random/000075_000000000450.dimacs;;450;682;1;;0;;;;
2-social-networks/00-karate.graph.dimacs;0.51;34;78;14;583;1;OK;OK;0;
2-social-networks/01-dolphins.graph.dimacs;;62;159;33;;0;;;;
2-social-networks/02-chesapeake.graph.dimacs;1.16;39;170;22;6110;1;OK;OK;0;
2-social-networks/03-adjnoun.graph.dimacs;;112;425;33;;0;;;;
2-social-networks/04-polbooks.graph.dimacs;;105;441;1;;0;;;;
2-social-networks/05-football.graph.dimacs;;115;613;33;;0;;;;
2-social-networks/06-celegans_metabolic.graph.dimacs;;453;2025;1;;0;;;;
2-social-networks/07-jazz.graph.dimacs;;198;2742;1;;0;;;;
2-social-networks/08-netscience.graph.dimacs;;1589;2742;33;;0;;;;
2-social-networks/09-email.graph.dimacs;;1133;5451;33;;0;;;;
2-social-networks/10-add20.graph.dimacs;;2395;7462;33;;0;;;;
2-social-networks/11-power.graph.dimacs;;4941;6594;1;;0;;;;
2-social-networks/12-uk.graph.dimacs;;4824;6837;1;;0;;;;
3-medium-sized/vc001.dimacs;;6160;40207;1;;0;;;;
3-medium-sized/vc003.dimacs;;60541;48418;1;;0;;;;
3-medium-sized/vc005.dimacs;;200;798;1;;0;;;;
3-medium-sized/vc007.dimacs;;8794;10121;1;;0;;;;
3-medium-sized/vc009.dimacs;;38452;174645;32;;0;;;;
3-medium-sized/vc011.dimacs;;9875;25973;1;;0;;;;
3-medium-sized/vc013.dimacs;;45307;36697;33;;0;;;;
